,title,artist,top genre,year,Key,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
7,Mr Tambourine Man,The Byrds,Folk,1965,D Major,120,47,46,-9.56,44,64,2:29,51,3
8,Ticket To Ride,The Beatles,Rock,1965,A Major,123,85,52,-6.78,23,75,3:11,5,7
9,My Girl,The Temptations,Soul,1964,C Major,105,42,57,-10.74,10,69,2:45,64,3
10,Like A Rolling Stone,Bob Dylan,Folk,1965,C Major,95,72,48,-6.84,19,56,6:09,73,3
,1966,,,,,,,,,,,,,
1,Strangers In The Night,Frank Sinatra,Jazz,1966,F Major,90,47,26,-8.28,20,54,2:37,59,3
2,These Boots Are Made For Walking,Nancy Sinatra,Country,1966,G Major,174,35,46,-14.61,8,72,2:43,93,6
3,Good Vibrations,The Beach Boys,Rock,1966,Bb Minor,133,50,40,-6.89,15,38,4:15,39,3
4,Paperback Writer,The Beatles,Rock,1966,G Major,158,86,44,-5.03,68,72,2:18,24,6
5,Yellow Submarine,The Beatles,Rock,1966,C# Major,111,64,62,-7.06,52,65,2:39,21,3
6,Paint It Black,The Rolling Stones,Rock,1966,B Minor,159,79,46,-9.17,38,62,3:22,5,10
7,The Sounds Of Silence,Simon & Garfunkel,Folk,1964,G Major,88,14,37,-19.70,98,23,4:16,89,4
8,Monday Monday,The Mamas & The Papas,Folk,1966,B Major,199,39,30,-13.34,17,37,3:27,34,5
9,Winchester Cathedral,New Vauderville Band,Rock,1966,C Major,125,76,79,-6.19,25,89,2:27,36,3
10,Reach Out (I’ll Be There),The Four Tops,Soul,1966,Eb Minor,120,60,61,-8.91,19,74,2:58,3,3
,1967,,,,,,,,,,,,,
1,A Whiter Shade Of Pale,Procol Harum,Pop,1967,C Major,150,66,25,-6.91,9,44,4:08,50,3
2,I’m A Believer,The Monkees,Rock,1967,C Major,80,78,53,-6.05,22,96,2:47,71,4
3,All You Need Is Love,The Beatles,Rock,1967,G Major,103,48,40,-7.77,16,65,3:50,35,3
4,"Hello, Goodbye",The Beatles,Rock,1967,C Major,99,81,50,-5.28,53,66,3:29,40,3
5,Penny Lane,The Beatles,Rock,1967,A Major,113,49,65,-8.22,14,49,3:00,21,3
6,(The Lights Went Out In) Massachusetts,Bee Gees,Alternative,1967,D Major,104,50,40,-8.23,55,38,2:56,15,3
7,San Francisco (Wear Some Flowers in Your Hair),Scott McKenzie,Folk,1967,G Major,113,55,51,-10.13,15,43,2:58,32,3
8,Daydream Believer,The Monkees,Pop,1967,G Major,126,49,51,-10.30,11,65,2:59,26,3
9,The Letter,The Box Tops,Pop,1967,A Minor,139,43,64,-12.16,13,90,1:52,25,7
10,Light My Fire,The Doors,Rock,1967,E Minor,131,63,46,-11.96,20,68,6:58,15,3
,1968,,,,,,,,,,,,,
1,Hey Jude,The Beatles,Rock,1968,Bb Major,145,55,40,-10.16,9,67,7:11,3,3
2,Those Were The Days,Mary Hopkin,Pop,1968,F# Minor,170,29,37,-9.40,11,50,5:00,87,3
3,Jumpin’ Jack Flash,The Rolling Stones,Rock,1968,Eb Major,137,89,60,-7.69,8,64,3:42,7,5
4,(Sittin’ On) The Dock Of The Bay,Otis Redding,R&B,1968,D Major,206,31,48,-13.52,6,60,2:43,72,5
5,I Heard It Through The Grapevine,Marvin Gaye,Soul,1968,Eb Minor,117,36,71,-10.85,13,62,3:14,27,4
6,Honey,Bobby Goldsboro,Film OST,1968,G Major,93,28,40,-13.12,20,60,3:58,67,3
7,Judy In Disguise (With Glasses),John Fred & The Playboy Band,Rock,1967,G# Major,81,50,61,-10.20,5,89,2:54,6,4
8,Lady Madonna,The Beatles,Rock,1968,D Major,109,71,64,-8.96,18,78,2:17,39,3
9,Delilah,Tom Jones,Country,1968,A Minor,96,48,53,-10.94,55,79,3:22,61,3
10,Eloise,Barry Ryan,Pop,1968,C Major,131,67,41,-9.64,35,47,5:44,22,3
,1969,,,,,,,,,,,,,
1,Sugar Sugar,Archies,Pop,1969,D Major,122,73,76,-7.26,11,97,2:47,40,3
2,Get Back,The Beatles,Pop,1969,D Major,123,59,76,-9.84,61,33,3:09,49,6
3,Suspicious Minds,Elvis Presley,Pop,1968,G Major,118,41,46,-10.55,38,73,4:21,3,3
4,Honky Tonk Woman,The Rolling Stones,Blues,1968,G Major,120,78,56,-6.71,7,97,2:59,36,6
5,In The Year 2525 (Exordium & Terminus),Zager & Evans,Pop,1969,G# Minor,123,62,45,-5.61,7,50,3:19,15,4
6,Crimson & Clover,Tommy James & The Shondelis,R&B,1968,B Major,82,69,41,-9.48,20,68,3:29,24,7
7,The Ballad of John & Yoko,The Beatles,Alternative,1969,E Major,135,89,65,-6.55,13,96,3:00,0,3
8,Come Together,The Beatles,Pop,1969,A Minor,165,38,53,-11.91,9,19,4:19,3,4
9,Aquarius/Let The Sunshine In,Fifth Dimension,Pop,1969,G Major,118,74,29,-6.10,10,51,4:49,45,4
10,In The Ghetto,Elvis Presley,Country,1969,Bb Major,88,26,41,-15.78,14,44,2:47,68,3
,1970,,,,,,,,,,,,,
1,Let It Be,The Beatles,Pop,1970,C Major,143,40,44,-8.34,11,41,4:03,63,3
2,In The Summertime,Mungo Jerry,Country,1970,E Major,164,65,64,-8.57,14,97,3:31,66,6
3,Venus,Shocking Blue,Pop,1969,B Minor,128,76,69,-6.47,8,96,3:07,46,4
4,Bridge Over Troubled Water,Simon & Garfunkel,Folk,1970,Eb Major,80,21,15,-13.89,12,26,4:51,82,3
5,Raindrops Keep Falling On My Head,B J Thomas,Country,1969,F Major,106,49,51,-8.22,20,70,2:58,87,6
6,Spirit In The Sky,Norman Greenbaum,Christian,1969,A Major,129,62,61,-7.09,12,54,4:02,10,3
7,Whole Lotta Love,Led Zeppelin,Rock,1969,A Major,90,90,41,-11.60,41,42,3:50,5,41
8,Lola,The Kinks,Rock,1970,A Major,151,89,46,-4.60,7,93,4:01,46,4
9,Up Around The Bend,Creedence Clearwater Revival,Jazz,1970,D Major,130,78,59,-8.95,28,81,2:41,10,4
10,Yellow River,Christie,Pop,1970,E Major,130,54,63,-11.44,15,88,2:44,9,3
,1971,,,,,,,,,,,,,
1,My Sweet Lord,George Harrison,Pop,1970,C# Minor,121,69,54,-9.02,8,55,4:41,8,3
2,Imagine,John Lennon,Pop,1971,C Major,76,26,55,-12.36,9,17,3:05,91,3
3,Maggie May,Rod Stewart,Pop,1971,D Major,129,57,61,-10.54,7,54,5:11,56,4
4,I Beg Your Pardon (I Never Promised You A Rose Garden),Lynn Anderson,Country,1970,C Major,135,83,50,-9.10,94,66,3:10,22,4
5,Joy To The World,Three Dog Night,Pop,1970,D Major,127,68,65,-12.52,34,97,3:40,46,3
6,Brown Sugar,The Rolling Stones,Pop,1981,C Major,129,93,63,-3.59,6,96,3:48,22,3
7,Theme From ‘Shaft',Issac Hayes,R&B,1971,A Minor,120,69,50,-12.54,21,70,3:16,4,5
8,She’s A Lady,Tom Jones,Pop,1971,D Major,120,88,51,-9.10,25,62,2:54,21,16
9,Knock Three Times,Tony Orlando & Dawn,Pop,1970,B Major,127,55,72,-13.62,13,87,2:57,38,5
10,It’s Too Late,Carole King,Pop,1971,A Minor,208,44,45,-12.72,13,81,3:53,50,4
,1972,,,,,,,,,,,,,
1,American Pie,Don McLean,Folk,1971,G Major,138,51,53,-10.89,14,50,8:36,60,6
2,Without You,Harry Nilson,Pop,1971,E Major,64,34,38,-9.26,7,16,4:49,32,3
3,Popcorn,Hot Butter,Pop,1972,B Minor,137,63,78,-14.62,6,95,2:31,4,6
4,Beautiful Sunday,Daniel Boone,Pop,1972,A Major,122,46,68,-13.16,29,91,3:02,31,3
5,Heart Of Gold ,Neil Young,Rock,1972,E Minor,171,40,54,-13.55,11,83,3:07,20,3
6,The First Time I Ever Saw Your Face,Roberta Flack,Soul,1969,C Major,122,3,32,-21.82,11,12,4:20,82,4
7,Nights In White Satin,The Moody Blues,Pop,1967,E Minor,85,48,20,-4.99,7,17,4:29,47,3
8,Let’s Stay Together,Al Green,Soul,1972,D Minor,102,41,73,-9.19,3,58,3:19,50,5
9,Puppy Love,Donny Osmond,Pop,1972,C# Major,102,68,41,-3.99,25,54,3:04,61,4
10,Alone Again (Naturally),Gilbert O’Sullivan,Pop,1972,G# Minor,172,39,55,-11.80,10,64,3:41,61,4
,1973,,,,,,,,,,,,,
1,Angie,The Rolling Stones,Rock,1973,A Minor,136,55,43,-6.13,11,41,4:32,67,3
2,Tie A Yellow Ribbon ‘round The Old Oak Tree,Tony Orlando & Dawn,Pop,1973,Eb Major,180,51,51,-14.38,13,72,3:18,57,10
3,Killing Me Softly With His Song,Roberta Flack,Jazz,1973,F Minor,122,38,48,-10.24,6,33,4:46,73,3
4,You’re So Vain,Carly Simon,Rock,1972,C Major,106,68,66,-8.18,8,65,4:18,16,3
5,Crocodile Rock,Elton John,Pop,1973,E Minor,150,80,62,-7.28,6,97,3:55,3,3
6,I’d Love You To Want Me,Lobo,Rock,1972,Bb Major,75,45,60,-10.10,9,50,4:12,20,3
7,The Ballroom Blitz,The Sweet,Pop,1973,E Minor,108,80,64,-10.86,6,89,4:00,8,6
8,Superstition,Stevie Wonder,R&B,1972,C# Major,101,58,61,-14.17,10,88,4:05,6,7
9,Goodbye Yellow Brick Road,Elton John,Pop,1973,F Major,121,47,56,-7.71,15,40,3:12,45,3
10,Get Down,Gilbert O’Sullivan,Pop,1973,C# Major,125,72,77,-12.93,4,92,2:39,50,4
,1974,,,,,,,,,,,,,
1,Kung Fu Fighting,Carl Douglas,R&B,1974,D Major,102,67,60,-10.43,29,59,2:08,4,7
2,Seasons In The Sun,Terry Jacks,Rock,1974,F# Major,99,43,62,-14.58,10,90,3:24,44,5
3,Rock Your Baby,George McCrae,Reggae,1974,C# Major,104,91,59,-5.54,8,89,3:20,17,6
4,Waterloo,Abba,Pop,974,D Major,147,95,41,-2.88,35,71,2:46,24,6
5,You Aint’t Seen Nothin Yet,Bachman-Turner Overdrive,Rock,1974,B Minor,118,44,48,-15.04,22,76,3:53,0,4
6,The Way We Were,Barbra Streisand,Musical Theater,1974,A Major,138,34,27,-11.11,16,16,3:30,88,3
7,The Joker,Steve Miller Band,Pop,1973,F Major,83,45,60,-9.62,21,80,4:24,37,4
8,The Air That I Breathe,The Hollies,Pop,1972,E Minor,168,47,28,-8.38,16,25,4:17,24,3
9,Band On The Run,Wings,Rock,1973,G Major,125,57,48,-9.84,17,68,5:12,7,3
10,Sugar Baby Love,The Rubettes,Pop,1974,C Major,130,88,42,-4.67,37,78,3:39,0,5
,1975,,,,,,,,,,,,,
1,I Can Help,Billy Swan,Country,1974,C Major,125,65,46,-8.83,11,64,3:57,6,3
2,SOS,Abba,Dance,1975,F Major,124,72,39,-4.77,22,50,3:22,6,3
3,I’m Not In Love,10cc,Folk,1975,E Major,134,52,40,-15.70,28,16,6:06,69,6
4,Love Will Keep Us Together,Captain & Tennille,Pop,1975,E Major,130,48,68,-13.67,12,92,3:25,32,3
5,Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),Patti LaBelle,Funk,1974,C Major,118,67,59,-8.04,8,79,3:55,29,6
6,Fox On The Run,The Sweet,Rock,1974,E Major,127,92,48,-6.01,8,70,3:20,17,5
7,Una Paloma Bianca,George Baker Selection,Pop,1975,F Major,133,71,70,-10.61,20,94,3:32,18,3
8,Please Mr Postman,Carpenters,Pop,1975,A Major,133,55,66,-11.59,24,96,2:45,14,3
9,Fly Robin Fly,Silver Convention,Electronic,1975,C Minor,100,41,83,-14.15,7,94,3:48,1,3
10,Rhinestone Cowboy,Glen Campbell,Country,1975,C Major,115,62,64,-8.59,13,71,3:14,7,3
,1976,,,,,,,,,,,,,
1,Dancing Queen,Abba,Dance,1976,A Major,101,93,51,-4.34,57,71,3:50,18,5
2,Bohemian Rhapsody,Queen,Pop,1975,C Minor,144,40,39,-9.96,24,23,5:54,29,5
3,If You Leave Me Now,Chicago,Pop,1976,B Major,104,56,43,-6.78,13,28,3:55,2,3
4,Don’t Go Breaking My Heart,Elton John & Kiki Dee,Disco,1976,F Major,131,86,74,-7.82,7,78,4:35,18,4
5,Fernando,Abba,Dance,1976,A Major,111,54,35,-8.88,8,43,4:12,63,3
6,December 1963 (Oh What A Night),The Four Seasons,Pop,1975,C# Major,104,50,74,-13.49,5,97,3:17,6,3
7,Tonight’s The Night (Gonna Be Alright),Rod Stewart,Pop,1976,B Major,137,51,55,-12.62,38,72,3:57,34,5
8,Kiss & Say Goodbye,The Manhattans,Soul,1976,Bb Major,129,42,65,-10.09,13,58,4:26,56,6
9,Silly Love Songs,Wings,Pop,1976,C Major,125,47,74,-10.77,28,82,5:53,13,3
