,title,artist,top genre,year,Key,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
8,Wake Me Up Before You Go Go,Wham!,Electronic,1984,C Major,82,57,62,-11.89,6,90,3:51,27,4
9,Against All Odds (Take A Look At Me Now),Phil Collins,Pop Rock,1984,C# Major,116,49,59,-6.82,13,12,3:25,18,3
10,Like A Virgin,Madonna,Electronic,1984,Eb Minor,120,66,77,-10.84,7,97,3:38,15,4
,1985,,,,,,,,,,,,,
1,We Are The World,USA For Africa,Pop,1985,E Major,73,45,53,-15.26,7,29,7:07,19,4
2,Take On Me,A-Ha,Alternative,1985,F# Minor,84,90,57,-7.64,9,88,3:45,2,5
3,I Want To Know What Love Is,Foreigner,Pop,1984,F# Major,81,47,48,-10.04,13,42,5:04,19,3
4,Shout,Tears For Fears,Alternative,1985,C Major,98,94,51,-11.08,12,53,6:33,18,4
5,"Say You, Say Me",Lionel Richie,R&B,1985,G# Major,128,41,64,-11.11,8,26,4:01,36,8
6,Everybody Wants To Rule The World,Tears For Fears,Alternative,1985,D Major,112,68,72,-11.77,11,53,5:50,17,5
7,Money For Nothing,Dire Straits,Pop Rock,1985,D Minor,134,65,67,-9.32,6,65,8:25,5,4
8,Last Christmas,Wham!,Alternative,1984,D Major,108,48,74,-12.47,36,95,4:43,19,3
9,Nikita,Elton John,Pop Rock,1985,G Major,87,66,63,-9.29,7,75,5:43,12,3
10,Crazy For You,Madonna,Electronic,1985,A Major,95,55,67,-11.93,10,59,3:45,17,3
,1986,,,,,,,,,,,,,
1,Take My Breath Away,Berlin,Pop Rock,1986,F# Major,96,72,50,-9.40,41,55,4:11,6,3
2,Rock Me Amadeus,Falco,Alternative,1985,E Minor,177,72,62,-13.25,66,91,3:21,39,11
3,That’s What Friends Are For,Dionne Warwick & Friends,Soul,1985,Eb Major,119,46,36,-7.48,97,18,4:57,59,3
4,Papa Don’t Preach,Madonna,Electronic,1986,F Minor,122,93,83,-3.24,5,96,4:28,34,3
5,Walk Like An Egyptian,The Bangles,Alternative,1985,B Major,103,83,71,-12.76,30,76,3:17,1,9
6,West End Girls,The Pet Shop Boys,Electronic,1986,E Minor,113,91,66,-7.47,16,58,4:01,0,4
7,Sledgehammer,Peter Gabriel,Pop Rock,1986,G# Major,96,68,64,-7.56,4,47,5:13,4,4
8,The Lady In Red,Chris De Burgh,Pop Rock,1986,Bb Major,77,23,57,-20.34,4,52,4:11,34,3
9,Kiss,Prince,Electronic,1986,G Major,111,27,90,-12.24,5,74,3:46,1,9
10,The Final Countdown,Europe,Metal,1986,F# Minor,118,89,48,-5.34,7,14,5:10,1,8
,1987,,,,,,,,,,,,,
1,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,Electronic,1987,C# Major,119,82,71,-8.82,9,87,4:51,21,5
2,Never Gonna Give You Up,Rick Astley,Electronic,1987,G# Major,113,94,72,-11.82,11,91,3:33,12,4
3,La Bamba,Los Lobos,Latin,1987,C Major,156,76,51,-12.24,25,87,2:54,14,5
4,Faith,George Micheal,Electronic,1987,B Major,96,48,89,-11.99,7,61,3:13,1,12
5,With Or Without You,U2,Pop Rock,1987,D Major,110,43,54,-11.82,14,11,9:59,0,3
6,(I’ve Had) The Time Of My Life,Bill Medley & Jennifer Warners,Pop,1987,F# Minor,108,78,66,-11.25,21,51,4:49,13,4
7,Nothing’s Gonna Stop Us Now,Jefferson Starship,Rock,1987,F Major,202,73,49,-5.10,4,65,4:30,14,4
8,I Still Haven’t Found What I’m Looking For,U2,Pop Rock,1987,C# Major,101,76,57,-9.43,8,69,4:37,1,4
9,Livin’ On A Prayer,Bon Jovi,Metal,1986,C Major,123,89,53,-3.76,29,80,4:10,8,3
10,Who’s That Girl,Madonna,Electronic,1987,A Minor,104,65,63,-13.59,5,83,3:59,21,4
,1988,,,,,,,,,,,,,
1,A Groovy Kind Of Love,Phil Collins,Soul,1988,D Major,144,24,46,-12.19,12,19,3:30,41,3
2,Don’t Worry Be Happy,Bobby McFerrin,Jazz,1988,B Major,68,17,64,-22.59,6,78,4:51,88,16
3,Desire,U2,Pop Rock,1988,G# Major,109,83,49,-9.48,11,63,2:58,0,5
4,Get Outta My Dreams Get Into My Car,Billy Ocean,Pop,1988,E Major,117,91,66,-6.57,35,92,4:44,6,4
5,Sweet Child O’Mine,Guns n’ Roses,Metal,1987,F# Major,125,95,45,-5.32,11,62,5:56,9,5
6,I Think We’re Alone Now,Tiffany,Rock,1967,G Major,131,72,75,-12.13,2,94,3:48,3,5
7,Need You Tonight,INXS,Pop Rock,1987,C Major,109,61,79,-7.69,9,78,3:02,5,8
8,Heaven Is A Place On Earth,Belinda Carlisle,Pop,1987,E Major,123,90,61,-5.80,12,69,3:54,2,4
9,The Loco-Motion,Kylie Minogue,Electronic,1988,Eb Major,129,92,75,-5.23,2,76,3:13,39,4
10,I Should Be So Lucky,Kylie Minogue,Electronic,1987,G Major,116,98,73,-4.57,36,85,3:24,4,3
,1989,,,,,,,,,,,,,
1,Like A Prayer,Madonna,Electronic,1989,F Major,112,63,66,-12.36,17,32,5:42,43,4
2,Another Day In Paradise,Phil Collins,Pop Rock,1989,Eb Minor,102,57,78,-7.32,6,37,5:22,74,3
3,She Drives Me Crazy,Fine Young Cannibals,Alternative,1988,D Major,109,69,80,-5.68,3,97,3:35,19,4
4,The Look,Roxette,Pop Rock,1988,D Major,95,84,63,-5.36,5,54,3:55,5,4
5,Eternal Flame,The Bangles,Pop,1988,E Minor,79,25,52,-12.57,9,38,3:58,65,2
6,Right Here Waiting,Richard Marx,Pop,1989,C Major,178,25,40,-13.59,10,13,4:26,80,3
7,Swing The Mood,Jive Bunny & The Mastermixers,Pop,1989,G# Major,93,51,87,-13.38,20,88,4:48,5,5
8,Love Shack,The B52s,Pop Rock,1989,F Minor,134,80,70,-6.79,70,90,5:20,5,5
9,Batdance,Prince,Electronic,1989,C# Major,135,70,59,-9.89,14,47,6:13,17,8
10,Lambada,Kaoma,Afropop,1989,F Major,119,80,76,-5.16,5,97,3:27,21,3
,1990,,,,,,,,,,,,,
1,Nothing Compares 2 U,Sinead O’Connor,Pop Rock,1990,F Major,120,57,51,-7.02,11,16,4:40,4,3
2,Vogue,Madonna,Electronic,1990,F# Major,116,88,74,-6.45,42,33,5:16,0,4
3,I’ve Been Thinking About You,Londonbeat,Electronic,1990,B Minor,114,66,68,-12.70,7,90,3:50,2,4
4,Ice Ice Baby,Vanilla Ice,Hip-Hop,1990,D Major,116,54,98,-16.04,10,68,4:14,3,6
5,U Can’t Touch This,MC Hammer,Pop,1990,B Minor,133,52,87,-13.22,9,87,4:17,0,9
6,It Must Have Been Love,Roxette,Pop Rock,1990,F Major,81,65,52,-6.66,26,72,4:19,34,3
7,Blaze Of Glory ,Jon Bon Jovi,Rock,1990,G Major,79,62,55,-9.82,9,43,5:35,6,3
8,Black Velvet,Alannah Myles,Pop Rock,1989,G# Major,91,37,75,-10.07,11,47,4:37,27,3
9,The Power,Snap,Electronic,1990,C Major,109,88,74,-7.69,34,71,5:44,4,6
10,All Around The World,Lisa Stansfield,Electronic,1989,C# Major,101,73,66,-10.56,10,65,4:21,33,12
,1991,,,,,,,,,,,,,
1,(Everything I Do) I Do It For You,Bryan Adams,Pop Rock,1991,C# Major,131,49,53,-7.41,7,28,6:33,7,3
2,Black Or White,Micheal Jackson,Pop,1991,A Major,115,90,52,-3.75,7,87,4:14,17,9
3,Losing My Religion,REM,Alternative,1991,A Minor,126,86,67,-5.05,10,80,4:28,18,3
4,Joyride,Roxette,Pop Rock,1991,D Major,102,77,63,-5.32,48,73,4:23,5,3
5,Sadeness,Enigma,Electronic,1990,G Major,96,48,61,-13.68,10,51,4:14,9,4
6,More Than Words,Extreme,Metal,1990,F# Major,92,13,63,-14.90,11,24,5:37,47,3
7,I’m Too Sexy,Right Said Fred,R&B,1992,A Major,122,82,66,-12.11,20,83,2:50,0,5
8,Gonna Make You Sweat (Everybody Dance Now),C&C Music Factory,Electronic,1990,F# Major,113,79,56,-9.13,19,80,4:04,0,10
9,Wind Of Charge,Scorpions,Metal,1991,C Major,152,52,45,-10.11,10,25,5:12,32,4
10,Rush Rush,Paula Abdul,R&B,1991,E Major,90,50,70,-10.04,11,26,4:52,68,4
,1992,,,,,,,,,,,,,
1,I Will Always Love You,Whitney Houston,Electronic,1992,E Major,68,21,33,-12.52,8,11,4:31,85,3
2,End Of The Road,Boyz II Men,Hip-Hop,1991,F Minor,75,42,64,-9.30,6,48,5:51,7,2
3,Smells Like Teen Spirit,Nirvana,Pop Rock,1991,C# Major,117,91,50,-4.56,11,72,5:01,0,6
4,Tears In Heaven,Eric Clapton,Film OST,1992,A Major,154,24,50,-12.24,13,31,4:31,84,3
5,To Be With You,Mr Big,Metal,1991,E Major,83,28,69,-13.58,13,48,3:28,36,6
6,Jump,Kriss Kross,Hip-Hop,1992,D Major,102,79,73,-9.48,34,49,3:16,0,13
7,Rhythm Is A Dancer,Snap,Electronic,1992,A Minor,124,65,76,-14.92,9,86,5:32,21,3
8,Under The Bridge,Red Hot Chilli Peppers,Metal,1991,E Major,84,49,55,-8.05,14,51,4:24,2,5
9,Don’t Let The Sun Go Down On Me,George Micheal & Elton John,Electronic,1974,C Major,136,55,43,-8.10,47,25,5:46,50,3
10,This Used To Be My Playground,Madonna,Pop,1992,G Minor,76,31,50,-11.69,12,7,5:10,75,3
,1993,,,,,,,,,,,,,
1,Can’t Help Falling In Love,UB40,Reggae,1993,D Major,172,84,64,-8.61,14,83,3:27,4,4
2,I'd Do Anything For Love (But I Won’t Do That),Meat Loaf,Metal,1993,D Major,105,67,42,-6.35,41,30,5:16,62,9
3,Informer,Snow,Reggae,1993,C# Minor,98,92,64,-3.46,42,37,4:16,1,9
4,All That She Wants,Ace Of Base,Disco,1992,B Major,94,63,80,-9.69,10,86,3:31,1,5
5,That’s The Way Love Goes,Janet Jackson,R&B,1993,F Major,98,82,67,-6.83,8,61,4:26,14,6
6,Please Forgive Me,Bryan Adams,Rock,1993,A Major,67,39,55,-7.88,11,12,5:12,53,3
7,What’s Up,Four Non Blondes,Pop Rock,1992,D Major,134,56,57,-10.04,11,45,4:55,16,3
8,Mr Vain,Culture Beat,Jazz,1993,A Minor,133,100,68,-7.95,33,40,5:36,5,4
9,What Is Love?,Haddaway,Electronic,1992,G Minor,124,77,68,-7.91,20,74,4:30,2,3
10,The River Of Dreams,Billy Joel,Pop Rock,1993,G Major,90,75,63,-8.15,7,44,4:05,21,6
,1994,,,,,,,,,,,,,
1,The Sign,Ace Of Base,Pop,1993,E Minor,97,79,81,-6.90,6,90,3:11,1,4
2,I Swear,All 4-One,R&B,1994,F# Minor,83,83,53,-9.66,12,23,3:59,24,2
3,Streets Of Philadelphia,Bruce Springsteen,Pop Rock,1994,F Major,94,25,74,-15.45,9,47,3:16,38,3
4,All For Love,"Bryan Adams, Rod Stewart & Sting",Pop Rock,1993,D Major,75,53,51,-6.89,9,13,4:42,20,3
5,Without You,Mariah Carey,Pop,1993,F# Major,122,50,50,-9.40,6,16,3:35,34,4
6,I’ll Make Love To You,Boyz II Men,Electronic,1994,D Major,143,50,57,-8.04,10,20,3:56,10,2
7,Love Is All Around,Wet Wet Wet,Pop Rock,1994,Bb Major,170,67,44,-7.70,21,60,4:06,26,3
8,Always,Bon Jovi,Metal,1994,E Major,141,66,38,-5.56,8,33,5:53,12,3
9,All I Wanna Do,Sheryl Crow,Rock,1993,A Major,120,76,80,-4.93,36,93,4:05,15,3
10,Cotton Eye Joe,Rednex ,Country,1994,A Major,132,94,73,-7.54,4,60,3:14,1,8
,1995,,,,,,,,,,,,,
1,Gangsta’s Paradise,Coolio,Hip-Hop,1995,G# Major,80,51,65,-10.05,40,39,4:00,7,6
2,Back For Good,Take That,Electronic,1995,F Major,79,50,60,-9.76,14,56,4:02,31,3
3,Have You Ever Really Loved A Woman?,Bryan Adams,Pop Rock,1995,G Major,146,48,57,-10.19,9,36,4:51,54,3
4,One Sweet Day,Mariah Carey & Boyz II Men,R&B,1995,C# Major,128,50,57,-8.96,8,30,4:41,35,3
5,Waterfalls,TLC,Hip-Hop,1994,C# Major,172,51,77,-7.35,8,76,4:39,31,8
6,Fantasy,Mariah Carey,R&B,1995,G Major,102,73,67,-7.59,12,81,4:03,14,4
7,You Are Not Alone,Micheal Jackson,Hip-Hop,1995,B Major,120,40,65,-9.30,8,26,5:44,64,3
8,Kiss From A Rose,Seal,Pop,1994,Bb Minor,132,53,58,-7.11,31,22,4:48,68,3
9,Boombastic,Shaggy,Reggae,1995,D Major,159,79,86,-8.08,33,76,2:02,24,28
10,Take A Bow ,Madonna,Electronic,1994,G# Major,80,37,57,-8.85,7,31,5:20,42,3
,1996,,,,,,,,,,,,,
1,Wanna Be,Spice Girls,Electronic,1996,B Major,110,86,77,-6.15,16,89,2:52,10,3
2,Macarena,Los Del Rio,Latin,1995,C# Major,103,87,74,-8.59,9,95,3:53,25,5
3,Killing Me Softly With His Song,The Fugees,Hip-Hop,1996,E Minor,92,29,77,-17.12,57,51,4:58,3,14
4,Because You Love Me,Celine Dion,Pop,1996,C# Major,120,47,62,-9.88,10,18,4:33,31,3
5,Un-Break My Heart,Toni Braxton,R&B,1993,D Minor,110,43,63,-8.40,12,11,4:30,41,3
6,Missing,Everything But The Girl,Electronic,1994,A Minor,123,72,72,-9.39,5,65,3:56,2,3
7,Wonderwall,Oasis,Alternative,1995,D Major,175,85,41,-5.61,13,46,4:19,0,4
8,Children,Robert Miles,Electronic,1996,C Major,137,81,60,-10.05,47,18,7:06,0,3
9,Ironic,Alanis Morissette,Pop Rock,1995,B Major,115,58,41,-8.31,16,37,3:50,22,5
10,One Of Us,Joan Osborne,Pop Rock,1995,A Major,175,50,32,-7.90,13,40,5:18,1,3
,1997,,,,,,,,,,,,,
1,Candle In The Wind ‘97,Elton John,Pop Rock,1997,E Major,126,31,45,-8.18,17,37,4:10,98,3
2,I’ll Be Missing You,P Diddy & Faith Evans,Hip-Hop,1997,G Major,110,48,86,-9.20,59,92,5:01,5,6
3,Mmmbop,Hanson,Pop,1997,D Major,108,98,59,-4.11,89,35,4:28,7,8
4,Don't Speak,No Doubt,Reggae,1995,F Minor,76,71,52,-7.11,16,57,4:23,24,4
5,Barbie Girl,Aqua,Electronic,1997,C# Minor,130,88,81,-11.00,37,96,3:17,2,4
6,I Believe I Can Fly,R Kelly,Hip-Hop,1997,G Major,120,44,55,-7.59,19,4,5:20,24,3
7,Men In Black,Will Smith,Hip-Hop,1997,F Minor,108,58,80,-8.49,10,66,3:47,10,7
8,Tubthumping,Chumbawamba,Pop Rock,1997,D Major,208,94,39,-8.08,47,62,3:54,9,18
9,Something About The Way You Look Tonight,Elton John,Pop Rock,1997,F# Major,143,63,48,-7.64,8,54,4:00,17,3
10,Discotheque,U2,Pop,1997,E Minor,120,81,58,-9.67,10,63,5:18,0,4
,1998,,,,,,,,,,,,,
1,My Heart Will Go On,Celine Dion,Pop,1996,E Major,99,35,35,-9.01,15,4,4:40,71,3
2,Believe,Cher,Electronic,1998,F# Major,133,92,65,-6.72,5,46,3:59,1,5
3,I Don’t Want To Miss A Thing,Aerosmith,Pop Rock,1998,D Major,121,65,38,-5.16,25,14,4:58,17,3
4,The Boy Is Mine,Brandy & Monica,R&B,1998,C# Minor,93,71,70,-6.54,32,76,4:00,54,4
5,Truly Madly Deeply,Savage Garden,Dance,1997,C Major,84,71,61,-8.88,8,81,4:39,42,3
6,Frozen,Madonna,Electronic,1998,C# Major,108,62,60,-10.92,15,31,6:07,66,4
7,Torn,Natalie Imbruglia,Pop Rock,1997,F Major,96,93,56,-3.04,70,60,4:04,7,4
8,Iris,The Goo Goo Dolls,Pop Rock,1998,B Minor,156,72,32,-8.07,9,50,4:49,0,4
9,Together Again,Janet Jackson,House,1997,C Major,123,70,86,-7.39,6,42,4:16,8,9
10,Never Ever,All Saints,Electronic,1997,C# Major,134,54,74,-5.49,5,31,6:27,58,3
,1999,,,,,,,,,,,,,
1,Baby One More Time,Britney Spears,Electronic,1999,C Minor,93,70,76,-5.75,44,91,3:30,20,3
2,Livin’ La Vida Loca,Ricky Martin,Electronic,1999,C# Minor,178,95,43,-3.76,6,93,4:03,0,5
3,Mambo No 5 (A Little Bit Of…),Lou Bega,Electronic,1999,F Minor,174,86,71,-7.26,33,78,5:17,5,30
4,Smoot,Rob Thomas & Santana,R&B,1999,A Major,116,92,61,-3.91,30,96,4:54,16,3
5,No Scrubs,TLC,Hip-Hop,1999,G# Minor,93,68,74,-4.27,7,59,3:34,3,10
6,Blue (Da Ba Dee),Eiffel 65,Electronic,1998,G Minor,128,97,83,-11.50,47,73,3:40,23,6
7,I Want It That Way,The Backstreet Boys,Electronic,1999,F# Minor,99,78,67,-4.13,18,47,3:33,16,3
8,Genie In A Bottle,Christina Aguilera,Electronic,1999,C# Major,176,79,64,-6.97,15,92,3:37,19,15
9,If You Had My Love,Jennifer Lopez,Electronic,1999,B Minor,94,63,68,-7.00,11,81,4:26,6,4
10,Pretty Fly (For A White Guy),Offspring,Rock,1998,B Minor,143,90,72,-3.71,7,96,3:08,9,10
,2000,,,,,,,,,,,,,
1,Music,Madonna,Electronic,2000,G Major,120,80,74,-8.53,14,87,3:45,0,7
2,Oops!... I Did It Again,Britney Spears,Electronic,2000,C# Minor,95,83,75,-5.44,36,89,3:31,30,4
3,American Pie,Madonna,Electronic,2000,F Minor,124,73,63,-7.48,14,59,4:27,35,4
4,Shape Of My Heart,Backstreet Boys,Electronic,2000,A Major,96,79,58,-4.35,16,52,3:52,25,3
5,It's My Life,Bon Jovi,Pop Rock,2000,C Minor,120,93,55,-3.03,37,53,3:44,3,5
6,Maria Maria,Santana & The Product G&B,R&B,1999,D Major,98,60,78,-5.93,3,68,4:21,4,4
7,Breathless,The Corrs,Pop Rock,2000,B Major,127,82,61,-7.75,27,77,3:27,5,6
8,Born To Make You Happy,Britney Spears,Electronic,1999,B Minor,84,92,63,-4.84,7,69,4:03,12,5
9,What A Girl Wants,Christina Aguilera,Electronic,1999,C Major,142,82,75,-6.83,35,82,3:55,7,11
10,Show Me The Meaning Of Being Lonely,Backstreet Boys,Electronic,1999,F# Minor,168,63,63,-5.09,8,68,4m 4s,23,3
,2001,,,,,,,,,,,,,
1,Can't Get You Out Of My Head,Kylie Minogue,Electronic,2001,A Minor,126,56,77,-7.52,12,96,3:50,3,3
2,Lady Marmalade,Aguilera/Lil' Kim/Mya/Pink,Pop,2001,F Major,110,81,75,-3.68,65,64,4:27,2,6
3,It Wasn't Me,Shaggy &. Rikrok,Reggae,2000,C Major,95,60,85,-4.59,33,66,3:49,5,7
4,Survivor,Destiny's Child,Pop Rock,1982,C Minor,109,44,82,-14.52,8,55,3;46,22,3
5,All For You,Janet Jackson,Electronic,2001,D Major,114,88,77,-4.68,29,78,6:32,1,9
6,Independent Women Pt.1,Destiny's Child,Hip-Hop,1999,F# Minor,98,55,52,-5.63,38,94,3:41,32,33
7,You Rock My World,Michael Jackson,Pop,2001,E Minor,95,71,82,-3.64,8,94,5:38,3,10
8,Ain't It Funny,Jennifer Lopez,Electronic,2001,C Minor,100,87,71,-4.51,14,57,4:05,8,5
9,Don't Tell Me,Madonna,Electronic,2000,G Major,100,62,70,-7.34,9,68,4:40,5,6
10,Bootylicious,Destiny's Child,R&B,2001,C# Minor,103,84,84,-4.39,15,64,3:27,0,28
,2002,,,,,,,,,,,,,
1,Hero,Enrique Iglesias,Latin,2001,G Major,76,62,56,-6.17,10,16,4:24,13,4
2,Lose Yourself,Eminem,Hip-Hop,2002,D Major,171,74,69,-4.57,36,6,5:26,1,26
3,Dilemma,Nelly &. Kelly Rowland,Hip-Hop,2002,D Minor,168,55,73,-8.07,20,61,4:49,23,14
4,A Moment Like This,Kelly Clarkson,Pop,2002,G# Major,145,57,41,-3.92,12,16,3:48,16,3
5,"Whenever, Wherever",Shakira,Latin,2001,C# Minor,108,83,79,-4.86,20,87,3:16,24,4
6,Without Me,Eminem,Hip-Hop,2002,G Major,112,66,91,-2.81,35,64,4:50,0,7
7,The Ketchup Song,Las Ketchup,Reggae,2002,C# Major,185,95,60,-5.64,12,88,3:30,1,12
8,Complicated,Avril Lavigne,Pop Rock,2002,F Major,78,78,59,-5.90,30,43,4:04,6,5
9,How You Remind Me,Nickelback,Alternative,2001,Bb Major,172,76,45,-5.04,10,54,3:43,0,3
10,Get The Party Started,Pink,Pop,2001,B Minor,129,90,80,-3.27,17,96,3:12,0,5
,2003,,,,,,,,,,,,,
1,In Da Club,50 Cent,Hip-Hop,2003,F# Minor,90,72,90,-2.78,7,81,3:13,26,35
2,Crazy In Love,Beyoncé &. Jay-Z,R&B,2003,D Minor,99,77,65,-6.60,7,68,3:56,0,23
3,Where Is The Love?,The Black Eyed Peas,Hip-Hop,2003,F Major,94,70,83,-3.22,13,80,4:33,11,20
4,Bring Me To Life,Evanescence &. Paul McCoy,Metal,2003,E Minor,95,94,33,-3.19,24,30,3:55,1,7
5,Breathe,Blu Cantrell &. Sean Paul,Hip-Hop,2003,D Major,92,66,80,-3.83,25,47,3:48,5,3
6,Beautiful,Christina Aguilera,Pop,2002,F Minor,76,57,46,-3.87,11,10,3:58,58,3
7,All The Things She Said,t.A.T.u.,Pop,2002,F Minor,180,83,52,-5.78,10,42,3:34,3,4
8,Ignition (Remix),R. Kelly,Hip-Hop,2003,C# Major,133,52,80,-7.17,9,86,3:06,6,4
9,Hey Ya!,OutKast,Hip-Hop,2002,C Major,80,97,72,-2.21,21,96,3:56,6,6
10,Milkshake,Kelis,Hip-Hop,2003,C# Major,113,77,89,-6.11,16,83,3:02,1,4
,2004,,,,,,,,,,,,,
1,This Love,Maroon 5,Pop Rock,2002,F Minor,95,86,71,-4.61,9,81,3:26,5,4
2,Yeah!,"Usher, Lil Jon & Ludacris",Hip-Hop,2004,D Major,105,69,87,-7.25,16,63,4:12,5,12
3,Hey Ya!,OutKast,Hip-Hop,2002,C Major,80,97,72,-2.21,21,96,3:56,6,6
4,The Reason,Hoobastank,Alternative,2003,E Major,83,64,47,-4.67,16,8,3:52,1,3
5,Toxic,Britney Spears,Electronic,2003,F Minor,143,84,77,-3.95,25,92,3:18,3,11
6,I Don't Wanna Know,"Mario Winans, Enya & P.Diddy",R&B,2004,B Minor,97,52,83,-5.00,12,40,4:17,35,5
7,It's My Life,No Doubt,Reggae,2003,G# Minor,126,75,61,-4.54,32,77,3:45,0,3
8,Shut Up,Black Eyed Peas,Hip-Hop,2003,D Major,113,72,80,-3.96,25,57,4:56,6,27
9,My Immortal,Evanescence,Metal,2003,A Major,79,27,19,-9.21,13,10,4:22,86,4
10,Left Outside Alone,Anastacia,Latin,2004,D Minor,103,75,66,-3.57,9,32,4:17,9,3
,2005,,,,,,,,,,,,,
1,We Belong Together,Mariah Carey,R&B,2004,C Major,140,47,84,-7.98,9,79,3:21,3,6
2,Hung Up,Madonna,Electronic,2005,Bb Major,125,71,62,-6.83,7,62,3:22,0,4
3,Don't Cha,Pussycat Dolls &. Busta Rhymes,R&B,2005,C# Minor,120,64,88,-3.49,10,57,4:32,1,10
4,Gold Digger,Kanye West &. Jamie Foxx,Hip-Hop,2005,C# Minor,93,70,63,-5.57,6,62,3:27,2,35
5,You're Beautiful,James Blunt,Folk,2004,C Minor,82,48,68,-9.87,9,45,3:29,63,3
6,Hollaback Girl,Gwen Stefani,Alternative,2004,Bb Minor,110,92,93,-2.23,3,88,3:19,35,10
7,Let Me Love You,Mario,R&B,2004,G Minor,95,58,66,-8.97,12,56,4:16,24,9
8,Pon De Replay,Rihanna,Hip-Hop,2005,G Major,99,64,78,-8.42,10,50,4:06,0,16
9,Feel Good Inc.,Gorillaz,Hip-Hop,2005,F# Major,139,71,82,-6.68,61,77,3:42,1,18
10,Since U Been Gone,Kelly Clarkson,Pop Rock,2004,C Major,131,74,66,-5.41,11,40,3:08,0,3
,2006,,,,,,,,,,,,,
1,Hips Don't Lie,Shakira & Wyclef Jean,Electronic,2005,Bb Minor,100,82,78,-5.89,41,76,3:40,28,7
2,Irreplaceable,Beyoncé,Hip-Hop,2006,G Minor,176,69,45,-4.64,17,51,3:47,3,38
3,SexyBack,Justin Timberlake,R&B,2006,G Minor,117,60,97,-5.66,5,96,4:04,7,7
4,Crazy,Gnarls Barkley,Funk,2006,C Minor,112,39,86,-12.11,9,63,2:59,3,4
5,Temperature,Sean Paul,Hip-Hop,2005,C Minor,125,60,95,-4.68,7,82,3:36,11,7
6,Promiscuous,Nelly Furtado & Timbaland,Pop,2005,Bb Minor,114,97,81,-6.06,15,88,4:02,5,5
7,I Don't Feel Like Dancin',Scissor Sisters,Pop Rock,2006,G Major,108,92,71,-3.39,34,84,4:48,2,3
8,Smack That,Akon &  Eminem,Hip-Hop,2006,F Minor,119,74,94,-5.17,11,92,3:32,32,5
9,SOS,Rihanna,R&B,2005,G Major,137,67,68,-4.91,41,53,3:59,0,4
10,Ain't No Other Man,Christina Aguilera,R&B,2006,G Major,128,74,86,-4.72,10,51,3:47,0,22
,2007,,,,,,,,,,,,,
1,Umbrella,Rihanna &. Jay-Z,R&B,2007,C# Major,174,83,59,-4.60,4,58,4:35,1,12
2,Big Girls Don't Cry,Fergie,Hip-Hop,2006,G Major,113,64,71,-4.30,9,25,4:28,21,3
3,Apologize,Timbaland &. OneRepublic,Hip-Hop,2007,G# Major,118,60,66,-6.01,10,8,3:04,4,3
4,Beautiful Girls,Sean Kingston,Hip-Hop,2007,C# Minor,130,66,76,-6.08,26,77,3:45,15,7
5,Girlfriend,Avril Lavigne,Pop,2007,G Major,164,96,55,-1.85,20,58,3:36,0,10
6,No One,Alicia Keys,R&B,2007,C# Minor,90,55,64,-5.42,15,15,4:13,3,3
7,Don't Stop The Music,Rihanna,R&B,2007,F# Minor,123,36,83,-19.54,30,69,4:27,9,7
8,Beautiful Liar,Beyoncé & Shakira,Pop,2006,G# Major,92,76,76,-3.93,17,38,3:19,1,7
9,Say It Right,Nelly Furtado,Pop,2006,C# Major,117,85,86,-6.66,6,76,3:43,5,18
10,Stronger,Kanye West,Hip-Hop,2007,C# Major,104,70,58,-9.48,30,48,5:11,0,12
,2008,,,,,,,,,,,,,
1,Bleeding Love,Leona Lewis,Pop,2007,F Major,104,67,64,-5.29,15,20,4:22,17,3
2,Just Dance,Lady GaGa &. Colby O'Donis,Pop,2008,C# Minor,119,74,82,-4.54,18,75,4:01,3,3
3,I Kissed A Girl,Katy Perry,Pop,2008,F Major,130,76,70,-3.17,13,70,2:59,0,7
4,Low,Flo Rida &. T-Pain,Hip-Hop,2007,Bb Minor,128,61,92,-5.64,14,30,3:51,9,8
5,Viva La Vida,Coldplay,Alternative,2008,F Minor,138,62,49,-7.12,11,42,4:02,10,3
6,So What,Pink,Electronic,2008,B Minor,126,87,53,-3.08,24,46,3:35,0,4
7,Take A Bow,Rihanna,R&B,2007,A Major,82,47,70,-7.54,9,57,3:49,25,7
8,Hot N Cold,Katy Perry,Pop,2008,G Major,132,84,71,-3.96,7,86,3:30,0,4
9,Four Minutes,Madonna &. Justin Timberlake,Pop,2008,D Major,113,93,75,-4.92,23,77,3:09,1,7
10,All Summer Long,Kid Rock,Hip-Hop,2007,G Major,103,86,70,-3.63,10,89,4:57,1,2
,2009,,,,,,,,,,,,,
1,Boom Boom Pow,The Black Eyed Peas,Hip-Hop,2009,A Major,130,86,86,-5.90,13,41,4:11,13,7
2,Poker Face,Lady GaGa,Pop,2008,E Major,119,81,85,-4.62,12,79,3:57,12,8
3,I Gotta Feeling,The Black Eyed Peas,Pop,2008,C Major,128,84,74,-4.71,4,55,4:49,3,3
4,Bad Romance,Lady GaGa,Electronic,2009,C Major,119,92,70,-3.76,8,71,4:54,0,4
